,origin,destination,trips,start_lat,start_lng,end_lat,end_lng
2151,Columbus Dr at Exchange Pl,Harborside,2422,40.71687,-74.03281,40.7192517,-74.034234
4322,Lafayette Park,Grove St PATH,2422,40.71346382669195,-74.06285852193832,40.71958611647166,-74.04311746358871
1557,Brunswick St,Grove St PATH,2410,40.7241765,-74.0506564,40.71958611647166,-74.04311746358871
5000,Marin Light Rail,Marin Light Rail,2399,40.71458403535893,-74.04281705617905,40.71458403535893,-74.04281705617905
4655,Madison St & 1 St,Hoboken Terminal - Hudson St & Hudson Pl,2359,40.73879,-74.0393,40.73593758446329,-74.03030455112457
201,14 St Ferry - 14 St & Shipyard Ln,14 St Ferry - 14 St & Shipyard Ln,2345,40.752961,-74.024353,40.752961,-74.024353
3102,Grove St PATH,Dixon Mills,2339,40.71958611647166,-74.04311746358871,40.721630142638354,-74.04996782541275
3705,Hoboken Terminal - River St & Hudson Pl,12 St & Sinatra Dr N,2103,40.7360676564825,-74.02912706136703,40.75060414236896,-74.02402013540268
5133,McGinley Square,Bergen Ave & Sip Ave,2085,40.7253399253558,-74.06762212514877,40.73100888698729,-74.06443700194359
1473,Brunswick & 6th,Grove St PATH,2082,40.72601172964625,-74.05038893222809,40.71958611647166,-74.04311746358871
3120,Grove St PATH,JC Medical Center,2073,40.71958611647166,-74.04311746358871,40.71653978099194,-74.0496379137039
3111,Grove St PATH,Grove St PATH,2071,40.71958611647166,-74.04311746358871,40.71958611647166,-74.04311746358871
3089,Grove St PATH,Brunswick St,2032,40.71958611647166,-74.04311746358871,40.7241765,-74.0506564
3691,Hoboken Terminal - Hudson St & Hudson Pl,Southwest Park - Jackson St & Observer Hwy,2014,40.73593758446329,-74.03030455112457,40.73755127245804,-74.04166370630264
3704,Hoboken Terminal - River St & Hudson Pl,11 St & Washington St,1964,40.7360676564825,-74.02912706136703,40.74998490907138,-74.02715027332306
3088,Grove St PATH,Brunswick & 6th,1925,40.71958611647166,-74.04311746358871,40.72601172964625,-74.05038893222809
5191,McGinley Square,Sip Ave,1906,40.7253399253558,-74.06762212514877,40.73089709786179,-74.06391263008118
3912,JC Medical Center,Grove St PATH,1868,40.71653978099194,-74.0496379137039,40.71958611647166,-74.04311746358871
3222,Hamilton Park,Manila & 1st,1852,40.727595966,-74.044247311,40.72165072487999,-74.04288411140442
3706,Hoboken Terminal - River St & Hudson Pl,14 St Ferry - 14 St & Shipyard Ln,1826,40.7360676564825,-74.02912706136703,40.752961,-74.024353
5399,Morris Canal,Columbus Dr at Exchange Pl,1810,40.7124188237569,-74.03852552175522,40.71687,-74.03281
3711,Hoboken Terminal - River St & Hudson Pl,8 St & Washington St,1807,40.7360676564825,-74.02912706136703,40.74598388291562,-74.02819901704788
6186,Sip Ave,McGinley Square,1792,40.73089709786179,-74.06391263008118,40.7253399253558,-74.06762212514877
3573,Hoboken Ave at Monmouth St,Hoboken Ave at Monmouth St,1760,40.73520838045357,-74.04696375131607,40.73520838045357,-74.04696375131607
5601,Newport PATH,Harborside,1758,40.7272235,-74.0337589,40.7192517,-74.034234
6209,South Waterfront Walkway - Sinatra Dr & 1 St,11 St & Washington St,1755,40.73698221818716,-74.02778059244156,40.74998490907138,-74.02715027332306
1258,Bergen Ave & Sip Ave,McGinley Square,1730,40.73100888698729,-74.06443700194359,40.7253399253558,-74.06762212514877
6348,Southwest Park - Jackson St & Observer Hwy,Hoboken Terminal - Hudson St & Hudson Pl,1716,40.73755127245804,-74.04166370630264,40.73593758446329,-74.03030455112457
1055,Baldwin at Montgomery,Grove St PATH,1708,40.7236589,-74.0641943,40.71958611647166,-74.04311746358871
4469,Liberty Light Rail,City Hall,1696,40.7112423,-74.0557013,40.7177325,-74.043845
5600,Newport PATH,Hamilton Park,1694,40.7272235,-74.0337589,40.727595966,-74.044247311
3921,JC Medical Center,JC Medical Center,1664,40.71653978099194,-74.0496379137039,40.71653978099194,-74.0496379137039
5239,Monmouth and 6th,Grove St PATH,1661,40.72568548362901,-74.04879033565521,40.71958611647166,-74.04311746358871
3575,Hoboken Ave at Monmouth St,Hoboken Terminal - River St & Hudson Pl,1660,40.73520838045357,-74.04696375131607,40.7360676564825,-74.02912706136703
4151,Jersey & 6th St,Grove St PATH,1646,40.72528910781132,-74.04557168483734,40.71958611647166,-74.04311746358871
1918,City Hall - Washington St & 1 St,Madison St & 1 St,1614,40.73736,-74.03097,40.73879,-74.0393
657,8 St & Washington St,Hoboken Terminal - River St & Hudson Pl,1595,40.74598388291562,-74.02819901704788,40.7360676564825,-74.02912706136703
4656,Madison St & 1 St,Hoboken Terminal - River St & Hudson Pl,1563,40.73879,-74.0393,40.7360676564825,-74.02912706136703
3333,Harborside,Newport PATH,1557,40.7192517,-74.034234,40.7272235,-74.0337589
4886,Manila & 1st,Hamilton Park,1554,40.72165072487999,-74.04288411140442,40.727595966,-74.044247311
1181,Bergen Ave,Sip Ave,1527,40.722103786686034,-74.07145500183105,40.73089709786179,-74.06391263008118
6579,Van Vorst Park,Grove St PATH,1523,40.71848892,-74.047726625,40.71958611647166,-74.04311746358871
3154,Grove St PATH,Van Vorst Park,1506,40.71958611647166,-74.04311746358871,40.71848892,-74.047726625
2178,Columbus Dr at Exchange Pl,Morris Canal,1495,40.71687,-74.03281,40.7124188237569,-74.03852552175522
349,4 St & Grand St,Hoboken Terminal - River St & Hudson Pl,1488,40.7422579775645,-74.03511106967926,40.7360676564825,-74.02912706136703
3138,Grove St PATH,Monmouth and 6th,1480,40.71958611647166,-74.04311746358871,40.72568548362901,-74.04879033565521
3124,Grove St PATH,Jersey & 6th St,1474,40.71958611647166,-74.04311746358871,40.72528910781132,-74.04557168483734
3303,Harborside,Harborside,1466,40.7192517,-74.034234,40.7192517,-74.034234
3083,Grove St PATH,Baldwin at Montgomery,1465,40.71958611647166,-74.04311746358871,40.7236589,-74.0641943
6137,Sip Ave,Bergen Ave,1447,40.73089709786179,-74.06391263008118,40.722103786686034,-74.07145500183105
